title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
The Matrix Reloaded,,2003,138 min,USA,"English, French","Lana Wachowski, Lilly Wachowski",Warner Bros. Pictures,"Action, Sci-Fi","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance. Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix, and a certain degree of precognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source. Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has chosen Neo as his next target.",72,62,73,tt0234215,,,https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,The Matrix trilogy,1080,"Eng, Spa"
The Matrix Resurrections,,2021,148 min,"United States, Australia","English, French, Spanish, Japanese",Lana Wachowski,,"Action, Sci-Fi","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",57,63,63,tt10838180,,,https://m.media-amazon.com/images/M/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,The Matrix,1080,"Eng, Spa"
The Matrix Revolutions,,2003,129 min,USA,"English, French","Lana Wachowski, Lilly Wachowski",Warner Bros. Pictures,"Action, Sci-Fi","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan","Neo discovers that somehow he is able to use his powers in the real world too and that his mind can be freed from his body, as a result of which he finds himself trapped on a train station between the Matrix and the Real World. Meanwhile, Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party, someone who has plans to destroy both the worlds.",67,47,35,tt0242653,,,https://m.media-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,The Matrix trilogy,1080,"Eng, Spa"
The Mission,,1986,125 min,"UK, France","English, Guarani, Spanish, Latin",Roland Joffé,Warner Home Video,"Adventure, Drama, History","Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn","Jeremy Irons plays a Spanish Jesuit who goes into the South American wilderness to build a mission in the hope of converting the Indians of the region. Robert DeNiro plays a slave hunter who is converted and joins Irons in his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",75,,65,tt0091530,,,https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,1080,Spa
The Mummy,,1959,88 min,UK,English,Terence Fisher,WARNER BROTHERS PICTURES,"Adventure, Horror","Peter Cushing, Christopher Lee, Yvonne Furneaux, Eddie Byrne",In the 1890s a team of British archaeologists discover the untouched tomb of Princess Ananka but accidentally bring the mummified body of her High Priest back to life. Three years later back in England a follower of the same Egyptian religion unleashes the mummy to exact grisly revenge on the despoilers of the sacred past.,68,,100,tt0053085,,,https://m.media-amazon.com/images/M/MV5BN2M3NzlkZTItYTFmZS00Y2RhLThlYTYtYTk1YjJiOTZiYWQyXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BN2M3NzlkZTItYTFmZS00Y2RhLThlYTYtYTk1YjJiOTZiYWQyXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,,1080,
The Name of the Rose ,Der Name der Rose,1986,130 min,"West Germany, Italy, France","English, Latin, Italian",Jean-Jacques Annaud,Nelson Entertainment,"Crime, Drama, Mystery, Thriller","Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin","1327. After a mysterious death in a Benedictine Abbey, the monks are convinced that the apocalypse is coming. With the Abbey to play host to a council on the Franciscan's Order's belief that the Church should rid itself of wealth, William of Baskerville, a respected Franciscan friar, is asked to assist in determining the cause of the untimely death. Alas, more deaths occur as the investigation draws closer to uncovering the secret the Abbey wants hidden, and there is finally no stopping the Holy Inquisition from taking an active hand in the process. William and his young novice must race against time to prove the innocence of the unjustly accused and avoid the wrath of Holy Inquisitor Bernardo Gui.",77,,74,tt0091605,,,https://m.media-amazon.com/images/M/MV5BZjEyZTdhNDMtMWFkMS00ZmRjLWEyNmEtZDU3MWFkNDEzMDYwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZjEyZTdhNDMtMWFkMS00ZmRjLWEyNmEtZDU3MWFkNDEzMDYwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,1080,Eng
The New One-Armed Swordsman ,"新獨臂刀, Xīn Dú Bì Dāo",1971,98 min,Hong Kong,Mandarin,Cheh Chang,,"Action, Drama","David Chiang, Ching Lee, Lung Ti, Feng Ku","Lei Li lost his right-arm in a sword duel with the master of a martial arts school, long ago. Now, he is able to defend himself well with just his left arm, and kung fu techniques. That he proves with just the help of his friend Chung-Chieng, when he crosses his path with a beautiful girl in need, Pao Chiao. Even against impossible odds, he will prove a great warrior.",73,,,tt0069518,,,https://m.media-amazon.com/images/M/MV5BMjY0ZTViMDQtOWQ3MS00ZWRjLWJjZmUtZDQ0YmJlZjQyNTRkXkEyXkFqcGdeQXVyMTEzNTk5Nzk@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjY0ZTViMDQtOWQ3MS00ZWRjLWJjZmUtZDQ0YmJlZjQyNTRkXkEyXkFqcGdeQXVyMTEzNTk5Nzk@._V1_SX300.jpg,One-Armed Swordsman trilogy,1080,Eng
The Ninth Gate,,1999,133 min,"France, Spain","English, French, Latin, Portuguese, Spanish",Roman Polanski,"Araba Films, Bac Films, Kino Vision, Via Digital, R.P. Productions, Live Entertainment, Orly Films, Le Studio Canal +","Mystery, Thriller","Johnny Depp, Frank Langella, Lena Olin, Emmanuelle Seigner","In New York, the money-driven dealer Dean Corso is a rare-books expert and partner of Bernie, who owns a bookstore. He is contacted by the renowned collector of books about the devil Boris Balkan, who has just acquired the rare The Nine Gates of the Kingdom of Shadows from the collector Andrew Telfer, to verify whether his book is authentic or a forgery. Balkan explains that the book was written by the writer Aristide Torchia, in 1666, with Lucifer and he was burned at the stake with his entire work. There are only three exemplars of The Nine Gates and in accordance with the legend, its nine engravings form a riddle to conjure the devil. The skeptical Corso accepts the assignment and has to fly to Sintra, Portugal, and Paris, France, to contact the owners Victor Fargas and Baroness Kessler and find the genuine exemplar for Balkan. Meanwhile, he asks Bernie to hide the rare book. Before traveling to Europe, the widow Liana Telfer wants to retrieve the book and has sex with Corso, but he does not accept her offer. When Corso returns to Bernie's bookstore, he finds his friend murdered in the same position of an engraving. Corso travels to Toledo, Spain, to meet the Ceniza twin brothers and learn more about The Nine Gates. During his journey in Europe, Corso is pursued by Liana and her bodyguard, who belong to the sect The Order of the Silver Serpents, and is protected by a mysterious Girl with supernatural powers. Meanwhile, the owners of the two other exemplars of The Nine Gates are murdered. Corso becomes obsessed with the book and discloses the truth about it.",67,44,43,tt0142688,,,https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,,1080,Eng
The Nun,,2018,96 min,USA,"English, French, Romanian, Latin",Corin Hardy,Warner Bros. Pictures,"Horror, Mystery, Thriller","Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,55,46,26,tt5814060,http://www.thenunmovie.com/,,https://m.media-amazon.com/images/M/MV5BMjM3NzQ5NDcxOF5BMl5BanBnXkFtZTgwNzM4MTQ5NTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjM3NzQ5NDcxOF5BMl5BanBnXkFtZTgwNzM4MTQ5NTM@._V1_SX300.jpg,,1080,
The Official Story ,La historia oficial,1985,112 min,Argentina,"Spanish, English",Luis Puenzo,Koch Lorber Films,"Drama, History, War","Héctor Alterio, Norma Aleandro, Chunchuna Villafañe, Hugo Arana","Alicia Marnet de Ibáñez is a high school history professor and a well-to-do housewife in Buenos Aires, circa 1983, after the fall of the ""junta militar"" that had taken over the government since 1976. She has a husband, Roberto, who is a succesful lawyer and a five-year-old adopted daughter.",78,,100,tt0089276,,,https://m.media-amazon.com/images/M/MV5BMTAzODQzNTU5NjBeQTJeQWpwZ15BbWU4MDk0NjM5MzMy._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTAzODQzNTU5NjBeQTJeQWpwZ15BbWU4MDk0NjM5MzMy._V1_SX300.jpg,,1080,
The One-Armed Swordsman ,"獨臂刀, Dú Bì Dāo",1967,115 min,Hong Kong,"Mandarin, English, Hungarian",Cheh Chang,Unicorn Pictures,"Action, Drama","Jimmy Wang Yu, Chiao Chiao, Chung-Hsin Huang, Yin-Tze Pan","An evil gang attacks the Chi school of Golden Sword Kung Fu. One student sacrifices his life to save his teacher and his school, his dying wish is that his son be taken in as a student. Young Fang Kang grows up in the school and treasures his father's broken sword and the memory of his father's sacrifice. The other students (including the teacher's daughter) resent him and try to drive him away. The teacher's daughter challenges him to a fight and when he refuses she becomes enraged and recklessly chops off his arm! He retreats, broken and bloody, and is found by a young poor girl living alone who nurses him back to health. Meanwhile, the evil gang who originally attacked the Golden Sword school develops a weapon that renders the Golden Sword useless and starts killing off all of the schools students. Fang Kang eventually recovers with the girl's help but must now face a life with only one arm. Will he be able to recover and live to defend the school as his father did?",74,,,tt0061597,,,https://m.media-amazon.com/images/M/MV5BY2FmYTM1MWEtM2FjZS00NWQyLTk5ZGUtYTcxNTVjMWQ2ZmQ0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2FmYTM1MWEtM2FjZS00NWQyLTk5ZGUtYTcxNTVjMWQ2ZmQ0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,One-Armed Swordsman trilogy,1080,Eng
The Passion of Joan of Arc ,La passion de Jeanne d'Arc,1928,114 min,France,French,Carl Theodor Dreyer,,"Biography, Drama, History","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","The sufferings of a martyr, Jeanne D'Arc (1412-1431). Jeanne appears in court where Cauchon questions her and d'Estivet spits on her. She predicts her rescue, is taken to her cell, and judges forge evidence against her. In her cell, priests interrogate her and judges deny her the Mass. Threatened first in a torture chamber and then offered communion if she will recant, she refuses. At a cemetery, in front of a crowd, a priest and supporters urge her to recant; she does, and Cauchon announces her sentence. In her cell, she explains her change of mind and receives communion. In the courtyard at Rouen castle, she burns at the stake; the soldiers turn on the protesting crowd.",81,,98,tt0019254,,,https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,1080,Eng
The Pillow Book,,1996,126 min,"Netherlands, UK, France, Luxembourg, Austria","English, Cantonese, Italian, Japanese, Mandarin, French",Peter Greenaway,Sony Pictures Home Entertainment,Drama,"Vivian Wu, Yoshi Oida, Ken Ogata, Hideko Yoshida","As a young girl in Japan, Nagiko's father paints characters on her face, and her aunt reads to her from ""The Pillow Book"", the diary of a 10th-century lady-in-waiting. Nagiko grows up, obsessed with books, papers, and writing on bodies, and her sexual odyssey (and the creation of her own Pillow Book) is a ""parfait mélange"" of classical Japanese, modern Chinese, and Western film images.",67,64,66,tt0114134,,,https://m.media-amazon.com/images/M/MV5BY2Y0MjZlZjQtNGUyNS00ODI4LWEyZmUtYTM5MDhkNTM0NGU1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2Y0MjZlZjQtNGUyNS00ODI4LWEyZmUtYTM5MDhkNTM0NGU1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,,1080,
The Plague Dogs,,1982,103 min,"UK, USA",English,Martin Rosen,Nepenthe Productions,"Animation, Adventure, Drama","John Hurt, Christopher Benjamin, James Bolam, Nigel Hawthorne","An animated adaptation of Richard Adams' novel, about a pair of dogs (Snitter and Rowf) who escape from a research laboratory and try to survive in the wild with the help of a cunning fox (The Tod). The lab director tries to keep the escape quiet, but as an increasing number of sheep are found killed, word leaks out, together with rumours that the dogs might be plague carriers...",79,,60,tt0084509,,,https://m.media-amazon.com/images/M/MV5BNDA1ZDU3M2ItNTdmZC00NjlkLWJhN2UtYjY3YWI3Y2FhMThhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDA1ZDU3M2ItNTdmZC00NjlkLWJhN2UtYjY3YWI3Y2FhMThhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,
The Predator,,2018,107 min,"Canada, USA","English, Spanish",Shane Black,20th Century Fox,"Action, Adventure, Sci-Fi, Thriller","Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",54,48,32,tt3829266,,,https://m.media-amazon.com/images/M/MV5BMjM5MDk2NDIxMF5BMl5BanBnXkFtZTgwNjU5NDk3NTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjM5MDk2NDIxMF5BMl5BanBnXkFtZTgwNjU5NDk3NTM@._V1_SX300.jpg,,1080,Eng
The Princess Bride,,1987,98 min,USA,English,Rob Reiner,20th Century Fox,"Adventure, Family, Fantasy, Romance","Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest","An elderly man reads the book ""The Princess Bride"" to his sick and thus currently bedridden adolescent grandson, the reading of the book which has been passed down within the family for generations. The grandson is sure he won't like the story, with a romance at its core, he preferring something with lots of action and ""no kissing"". But the grandson is powerless to stop his grandfather, whose feelings he doesn't want to hurt. The story centers on Buttercup, a former farm girl who has been chosen as the princess bride to Prince Humperdinck of Florian. Buttercup does not love him, she who still laments the death of her one true love, Westley, five years ago. Westley was a hired hand on the farm, his stock answer of ""as you wish"" to any request she made of him which she came to understand was his way of saying that he loved her. But Westley went away to sea, only to be killed by the Dread Pirate Roberts. On a horse ride to clear her mind of her upcoming predicament of marriage, Buttercup is kidnapped by a band of bandits: Vizzini who works on his wits, and his two associates, a giant named Fezzik who works on his brawn, and a Spaniard named Inigo Montoya, who has trained himself his entire life to be an expert swordsman. They in turn are chased by the Dread Pirate Roberts himself. But chasing them all is the Prince, and his men led by Count Tyrone Rugen. What happens to these collectives is dependent partly on Buttercup, who does not want to marry the Prince, and may see other options as lesser evils, and partly on the other motives of individuals within the groups. But a larger question is what the grandson will think of the story as it proceeds and at its end, especially as he sees justice as high a priority as action.",81,77,97,tt0093779,http://www.theprincessbride-themovie.com/,,https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,,1080,"Eng, Spa"
The Professional ,Le professionnel,1981,108 min,France,French,Georges Lautner,Ariane Films,"Action, Crime, Drama, Thriller","Jean-Paul Belmondo, Jean Desailly, Cyrielle Clair, Marie-Christine Descouard","French secret agent Joss Baumont is sent to one of the African countries to kill their president Njala. However, at the last moment the political situation changes and the French secret service turns him in to the African authorities, and he is sentenced to a long-term imprisonment. After the daring escape he returns to France and deliberately informs his former chiefs of his presence promising them to kill Njala who has just arrived to the country with the official visit.",76,,81,tt0082949,,,https://m.media-amazon.com/images/M/MV5BYTlkOGEwY2UtMjhjYy00ZTJkLWI5NmMtZTliNWVmMmY0YmYyXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTlkOGEwY2UtMjhjYy00ZTJkLWI5NmMtZTliNWVmMmY0YmYyXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,,1080,
The Rainmaker,,1997,135 min,"USA, Germany",English,Francis Ford Coppola,,"Crime, Drama, Thriller","Matt Damon, Danny DeVito, Claire Danes, Jon Voight","Rudy Baylor is a jobless young attorney. However, he is also the only hope of an elderly couple whose insurance company will not pay for an operation that could save their son's life. In this judicial drama, Rudy learns to hate corporate America as he falls in love with a battered young married woman. Will he be up to the task?",72,72,83,tt0119978,,,https://m.media-amazon.com/images/M/MV5BMjdlMjI2ZjgtN2ViOS00ZmI0LWE0ZTMtZjg1ZjczYWYzOGZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjdlMjI2ZjgtN2ViOS00ZmI0LWE0ZTMtZjg1ZjczYWYzOGZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,1080,Eng
The Return ,El regreso,2012,102 min,Costa Rica,Spanish,Hernan Jimenez,,Drama,"Andre Boxwill, Fernando Chironi, Monserrat Montero Cole, Luis Rodrigo Duran","After a decade abroad, Antonio returns to Costa Rica for a short visit. Unable to run away as usual, he is confronted with everything he has desperately struggled to put in the past: a broken family, an ailing father, a violent country and long lost friends.",73,,,tt1848871,,,https://ia.media-imdb.com/images/M/MV5BMTQ0NTgwODUzOV5BMl5BanBnXkFtZTcwNjE3OTQyNg@@._V1_.jpg,http://ia.media-imdb.com/images/M/MV5BMTQ0NTgwODUzOV5BMl5BanBnXkFtZTcwNjE3OTQyNg@@._V1_SX300.jpg,,SD,
The Return of Godzilla ,"ゴジラ, Gojira",1984,103 min,Japan,Japanese,Koji Hashimoto,Toho,Action,"Takenori Emoto, Sho Hashimoto, Kôji Ishizaka, Nobuo Kaneko","Reporter Goro Maki is investigating a ship where all except for one man ""Hiroshi Okumura"" were killed by sea lice. After attacks on a soviet submarine they come to the conclusion that a new...",70,,,tt9015178,,,https://m.media-amazon.com/images/M/MV5BODY2Y2VjNTYtZjZkNy00NzZmLThlMTktYWJmZTZkNDhkZDdhXkEyXkFqcGdeQXVyNTExNjk5Mzc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODY2Y2VjNTYtZjZkNy00NzZmLThlMTktYWJmZTZkNDhkZDdhXkEyXkFqcGdeQXVyNTExNjk5Mzc@._V1_SX300.jpg,Godzilla,1080,Eng
The Revenant,,2015,156 min,"USA, Hong Kong, Taiwan","English, Pawnee, French",Alejandro G. Iñárritu,20th Century Fox,"Action, Adventure, Biography, Drama, Western","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter","While exploring the uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.",80,76,78,tt1663202,http://www.foxmovies.com/movies/the-revenant,,https://m.media-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,,1080,
The Road to El Dorado,,2000,89 min,USA,English,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",Dreamworks,"Animation, Adventure, Comedy, Family, Romance","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante","The story is about two swindlers who get their hands on a map to the fabled city of gold, El Dorado while pulling off some sort of scam. Their plan goes bad and the rogues end up lost at sea after a number of misfortunes. Oddly enough, they end up on the shores of El Dorado and are worshiped by the natives for their foreign appearance.",69,51,48,tt0138749,,,https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_SX300.jpg,,1080,Eng
The Satanic Rites of Dracula,,1973,87 min,UK,"English, Latin",Alan Gibson,,Horror,"Christopher Lee, Peter Cushing, Michael Coles, William Franklyn","In London in the 1970s, Scotland Yard police investigators think they have uncovered a case of vampirism. They call in an expert vampire researcher named Van Helsing (a descendant of the great vampire-hunter himself, no less) to help them put a stop to these hideous crimes. It becomes apparent that the culprit is Count Dracula himself, disguised as a reclusive property developer, but secretly plotting to unleash a fatal virus upon the world.",56,,,tt0070634,,,https://m.media-amazon.com/images/M/MV5BMWI4OThjZWMtMTY3OS00NTc4LTlkMTMtZGI0YTMwMGRkOGUzXkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMWI4OThjZWMtMTY3OS00NTc4LTlkMTMtZGI0YTMwMGRkOGUzXkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_SX300.jpg,Hammer Films' Dracula,1080,Eng
The Secret in Their Eyes ,El secreto de sus ojos,2009,129 min,"Argentina, Spain",Spanish,Juan José Campanella,Sony Pictures Classics,"Drama, Mystery, Romance, Thriller","Soledad Villamil, Ricardo Darín, Carla Quevedo, Pablo Rago","In 1999, retired Argentinian federal justice agent Benjamín Espósito is writing a novel, using an old closed case as the source material. That case is the brutal rape and murder of Liliana Coloto. In addition to seeing the extreme grief of the victim's husband Ricardo Morales, Benjamín, his assistant Pablo Sandoval, and newly hired department chief Irene Menéndez-Hastings were personally affected by the case as Benjamín and Pablo tracked the killer, hence the reason why the unsatisfactory ending to the case has always bothered him. Despite the department already having two other suspects, Benjamín and Pablo ultimately were certain that a man named Isidoro Gómez is the real killer. Although he is aware that historical accuracy is not paramount for the novel, the process of revisiting the case is more an issue of closure for him. He tries to speak to the key players in the case, most specifically Irene, who still works in the justice department and who he has always been attracted to but never pursued due to the differences in their ages and social classes. The other issue is that Gómez is still at large, no one aware if he is alive or dead. But as Pablo at the time mentioned that passion is one thing that cannot be changed in behavior, Benjamín learns now that that premise still holds true.",82,80,91,tt1305806,http://www.sonyclassics.com/thesecretintheireyes/,,https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_SX300.jpg,,1080,"Eng, Spa"
The Serpent's Egg,,1977,119 min,"USA, West Germany","English, German",Ingmar Bergman,20th Century Fox Film Corporation,"Drama, Mystery, Thriller","Liv Ullmann, David Carradine, Gert Fröbe, Heinz Bennent","Ingmar Bergman's The Serpent's Egg follows a week in the life of Abel Rosenberg, an out-of-work American circus acrobat living in poverty-stricken Berlin following Germany's defeat in World War I. When his brother commits suicide, Abel seeks refuge in the apartment of an old acquaintance Professor Veregus. Desperate to make ends meet in the war-ravaged city, Abel takes a job in Veregus' clinic, where he discovers the horrific truth behind the work of the strangely beneficent professor and unlocks the chilling mystery that drove his brother to kill himself.",67,,27,tt0076686,,,https://m.media-amazon.com/images/M/MV5BNmYwNjk2YjctMTU1OC00NGY1LTg1MTMtZmI3ZTcxNzA0N2I1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNmYwNjk2YjctMTU1OC00NGY1LTg1MTMtZmI3ZTcxNzA0N2I1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,,1080,Eng
The Seventh Seal ,Det sjunde inseglet,1957,96 min,Sweden,"Swedish, Latin",Ingmar Bergman,Janus Films,"Drama, Fantasy","Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow","A Knight and his squire are home from the crusades. Black Death is sweeping their country. As they approach home, Death appears to the knight and tells him it is his time. The knight challenges Death to a chess game for his life. The Knight and Death play as the cultural turmoil envelopes the people around them as they try, in different ways, to deal with the upheaval the plague has caused.",82,,93,tt0050976,,,https://m.media-amazon.com/images/M/MV5BN2Q0MzM1MWItNzhhOS00MDc2LTlkNDUtNDIwNDAxNTA0NWY0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BN2Q0MzM1MWItNzhhOS00MDc2LTlkNDUtNDIwNDAxNTA0NWY0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,Eng
